dt 0.003333
ticks 4.000000
num 0.542161
num 3.000000
-10.584758 -6.908501 -7.521135
-8.577319 10.870500 -6.657279
-7.439221 -9.744145 3.988731
6.519611 -8.046597 -12.180479
-10.324230 12.027793 11.031222
-12.002581 13.056194 1.057102
-7.132072 -11.422497 -10.151100
-11.094845 -11.085180 -0.870808
-15.490917 7.897735 -13.069016
-12.444108 -4.223688 -5.146214
-7.332268 -5.852675 3.429281
-9.934809 -5.293225 7.658066
-14.978088 -7.040136 11.431614
-11.462327 -6.370990 -6.407720
-10.041762 5.073059 -4.619673
-15.888565 -4.459535 5.771293
8.236356 2.717335 -0.467674
-11.119527 -5.967856 -8.434356
2.532157 -10.125340 10.263350
-14.062125 -11.085180 1.185995
9.906480 -3.173347 -11.152078
-4.666652 2.437610 8.535636
-12.241169 4.266792 13.348554
0.554884 9.855811 13.971080
-15.515599 1.867190 -1.803225
-12.773196 -7.190969 -9.989299
-10.088383 -6.428580 -5.659044
-5.209647 2.245641 -13.192425
1.906889 3.781387 -7.578726
-10.858998 -10.108885 9.056692
-2.135413 -6.329854 7.427705
-10.538137 -6.285975 3.020663
-15.381221 -7.103211 1.704309
2.252432 2.632320 -0.887262
-5.642947 -9.423285 12.857664
-4.784575 -2.611155 -8.760702
-0.111520 3.512632 -12.070783
9.522542 -12.590760 -3.407531
5.293757 -7.563935 -11.741694
5.274560 -10.767062 -0.163268
4.333916 11.372359 -5.908603
2.814625 -10.577836 -0.991473
-12.189063 -3.614874 11.555022
-0.840999 10.415261 -6.580492
-4.620031 -9.192923 0.135654
1.580543 3.079332 -4.455129
9.766617 6.655426 -3.544651
5.600906 -8.057568 -7.927011
-7.836870 9.288134 11.892337
-7.022376 -3.760222 -11.146593
-10.159685 -8.161778 -3.344455
-5.678598 -0.834077 2.222623
-17.007465 -0.836820 -12.043358
-5.193193 11.303799 4.260229
3.566043 -13.868721 -11.599090
7.786601 0.937515 1.229873
8.230871 -0.982167 -1.293138
-15.027451 12.584501 10.200274
2.597975 -8.641699 9.627113
-12.989846 -11.107121 13.548749
-14.659968 -6.050128 -0.045344
7.301196 -7.152575 -0.752884
-11.986126 9.463648 -3.031821
-1.751477 -3.236423 0.102746
2.718640 -13.191346 4.775801
3.851253 -10.912409 -9.739740
-8.431972 5.254058 -12.174994
-13.157132 8.501063 -6.797141
-9.962233 -4.434853 -2.694506
-11.983383 9.414284 -9.103502
1.221288 -10.948060 6.470606
-12.142444 6.441519 11.310948
0.011888 -10.158249 4.528985
-9.871733 11.103603 2.510576
-16.936163 3.825266 0.952891
0.324522 1.299512 2.880800
-16.393167 -12.519458 10.696650
-12.682696 -0.504989 10.499197
4.737049 -2.369823 -5.927800
4.950956 -5.871872 12.196744
-2.914256 12.016824 -9.204971
3.675739 3.838978 -12.298402
2.041267 5.953370 4.641423
4.706882 6.043869 11.840232
-11.429419 -9.881266 -5.434167
7.361528 4.933197 -11.130138
3.785436 -5.954145 6.939557
-15.833717 -11.726903 5.609492
-12.540092 5.860129 6.780498
-5.182223 -13.813872 9.498219
-15.071329 -3.115757 -2.732899
6.656731 4.938681 -12.460203
